f150_descripcion;f120_referencia;f121_id_barras_principal;f120_descripcion;f117_descripcion_color;f121_id_ext1_detalle;f121_id_ext2_detalle;CATEGORIA;LINEA;MARCA;COLECCION;SECTOR;f400_fecha_ult_entrada;f400_fecha_ult_salida;f400_cant_existencia_1;f400_cant_comprometida_1;f400_cant_pendiente_salir_1;FECHA MINIMA ENTRADA;FECHA MAXIMA ENTRADA;FECHA MINIMA SALIDA;FECHA MAXIMA SALIDA
PUENTE ARANDA;PF51110943                                        ;7706718523536;CAMISA MALI;AZUL CLARO;450;S                   ;FOR ME TOO JEANS WEAR                   ;CAMISA;FORMETOO                                ;FMT DROP FEBRERO 1 2024;CAMISA MANGA LARGA                      ;27/05/2024;29/08/2024;4;0;0;20/02/2024;27/05/2024;20/02/2024;20/02/2024
NUESTRO MONTERIA 2;PF51110943                                        ;7706718523536;CAMISA MALI;AZUL CLARO;450;S                   ;FOR ME TOO JEANS WEAR                   ;CAMISA;FORMETOO                                ;FMT DROP FEBRERO 1 2024;CAMISA MANGA LARGA                      ;05/02/2024;24/07/2025;3;0;0;5/02/2024;5/02/2024;5/02/2024;5/02/2024
FOR ME TOO NUESTRO ATLANTICO;PF51110943                                        ;7706718523536;CAMISA MALI;AZUL CLARO;450;S                   ;FOR ME TOO JEANS WEAR                   ;CAMISA;FORMETOO                                ;FMT DROP FEBRERO 1 2024;CAMISA MANGA LARGA                      ;24/06/2025;29/04/2025;3;0;0;12/12/2024;24/06/2025;12/12/2024;12/12/2024
BELLO 2;PF51110943                                        ;7706718523529;CAMISA MALI;AZUL CLARO;450;M                   ;FOR ME TOO JEANS WEAR                   ;CAMISA;FORMETOO                                ;FMT DROP FEBRERO 1 2024;CAMISA MANGA LARGA                      ;27/11/2024;29/03/2025;6;0;0;20/02/2024;27/11/2024;20/02/2024;20/02/2024
PUENTE ARANDA;PF51110943                                        ;7706718523529;CAMISA MALI;AZUL CLARO;450;M                   ;FOR ME TOO JEANS WEAR                   ;CAMISA;FORMETOO                                ;FMT DROP FEBRERO 1 2024;CAMISA MANGA LARGA                      ;22/05/2024;25/01/2025;4;0;0;20/02/2024;22/05/2024;20/02/2024;20/02/2024
LA 65;PF51110943                                        ;7706718523529;CAMISA MALI;AZUL CLARO;450;M                   ;FOR ME TOO JEANS WEAR                   ;CAMISA;FORMETOO                                ;FMT DROP FEBRERO 1 2024;CAMISA MANGA LARGA                      ;11/04/2025;29/03/2025;3;0;0;25/08/2024;11/04/2025;25/08/2024;25/08/2024
NUESTRO MONTERIA 2;PF51110943                                        ;7706718523529;CAMISA MALI;AZUL CLARO;450;M                   ;FOR ME TOO JEANS WEAR                   ;CAMISA;FORMETOO                                ;FMT DROP FEBRERO 1 2024;CAMISA MANGA LARGA                      ;05/02/2024;24/07/2025;3;0;0;5/02/2024;5/02/2024;5/02/2024;5/02/2024
FOR ME TOO NUESTRO ATLANTICO;PF51110943                                        ;7706718523529;CAMISA MALI;AZUL CLARO;450;M                   ;FOR ME TOO JEANS WEAR                   ;CAMISA;FORMETOO                                ;FMT DROP FEBRERO 1 2024;CAMISA MANGA LARGA                      ;24/06/2025;29/04/2025;1;0;0;12/12/2024;24/06/2025;12/12/2024;12/12/2024
BELLO 2;PF51110943                                        ;7706718523512;CAMISA MALI;AZUL CLARO;450;L                   ;FOR ME TOO JEANS WEAR                   ;CAMISA;FORMETOO                                ;FMT DROP FEBRERO 1 2024;CAMISA MANGA LARGA                      ;27/11/2024;29/01/2025;4;0;0;20/02/2024;27/11/2024;20/02/2024;20/02/2024
PUENTE ARANDA;PF51110943                                        ;7706718523512;CAMISA MALI;AZUL CLARO;450;L                   ;FOR ME TOO JEANS WEAR                   ;CAMISA;FORMETOO                                ;FMT DROP FEBRERO 1 2024;CAMISA MANGA LARGA                      ;22/05/2024;27/06/2024;4;0;0;20/02/2024;22/05/2024;20/02/2024;20/02/2024
